record_type,ring_no,scheme,species,code,age,sex,visit_date,capture_time,location_name,wing,weight,ringer,min_t,max_t,sheet
N,X962900,GBT,Great Tit,GRETI,5,F,08/02/2018,09:00,Fforest Ganol,74,17.9,JS,18.3,21.8,Wales_20180406
N,Y638207,GBT,Great Tit,GRETI,5,F,09/03/2018,08:00,Fforest Ganol,72,,JS,19.8,22.6,Wales_20180406
N,Y638208,GBT,Great Tit,GRETI,6,M,09/03/2018,08:00,Fforest Ganol,77,,JS,28.2,29,Wales_20180406
N,Y638211,GBT,Great Tit,GRETI,6,M,09/03/2018,08:00,Fforest Ganol,76,,MPS,19,22.5,Wales_20180406
N,Y638215,GBT,Great Tit,GRETI,6,M,09/03/2018,09:30,Fforest Ganol,73,17.1,MPS,20.7,23.5,Wales_20180406
N,Y638216,GBT,Great Tit,GRETI,6,M,09/03/2018,09:30,Fforest Ganol,75,17.6,MPS,20.3,24.2,Wales_20180406
N,Y638218,GBT,Great Tit,GRETI,6,M,09/03/2018,10:00,Fforest Ganol,72,15.5,JS,19.2,22.5,Wales_20180406
N,Y638220,GBT,Great Tit,GRETI,5,M,09/03/2018,10:00,Fforest Ganol,72,,MPS,19.1,22.2,Wales_20180406
N,Y638222,GBT,Great Tit,GRETI,6,F,09/03/2018,10:30,Fforest Ganol,71,20.9,JS,19.8,22.8,Wales_20180406
N,Y638223,GBT,Great Tit,GRETI,5,M,09/03/2018,10:30,Fforest Ganol,74,22,JS,20,23.2,Wales_20180406
N,Y638231,GBT,Great Tit,GRETI,5,M,09/03/2018,08:00,Fforest Ganol,75,18.6,JS,21.8,24.8,Wales_20180406
,BV39252,GBT,Hawfinch,HAWFI,6,M,09/03/2018,,Fforest Ganol,107,,MPS,21.9,25.9,Wales_20180405
N,Y638226,GBT,Great Tit,GRETI,5,M,16/03/2018,08:00,Fforest Ganol,74,19.3,MPS,20.3,23.6,Wales_20180406
,AYC3090,,Chaffinch,CHAFF,5,M,27/03/2018,,Distilley Field,84,,SB,18.5,21.2,SB_20180419
,AYC3092,,Chaffinch,CHAFF,6,M,27/03/2018,,Distilley Field,85,17.8,SB,16.3,18.9,SB_20180420
,S152135,,Chaffinch,CHAFF,6,M,27/03/2018,,Distilley Field,90,20.8,SB,18.6,21.9,SB_20180421
,LK00719,,Blackbird,BLABI,6,M,27/03/2018,,Distilley Field,129,87.8,SB,32.8,37.4,SB_20180422
,S842769,,Chaffinch,CHAFF,6,M,27/03/2018,,Distilley Field,88,19.4,SB,19.2,22,SB_20180423
,S873648,,Chaffinch,CHAFF,6,F,27/03/2018,,Distilley Field,86,17.6,SB,18.2,22.8,SB_20180424
,D955209,GBT,Brambling,BRAMB,5,F,05/04/2018,,Fforest Ganol,89,23.1,MPS,19.4,21.8,Wales_20180405
,D955210,GBT,Brambling,BRAMB,6,M,05/04/2018,,Fforest Ganol,90,25.5,JS,18.1,21.3,Wales_20180405
,D955212,GBT,Chaffinch,CHAFF,4,F,05/04/2018,,Fforest Ganol,79,18.7,JS,18,20.5,Wales_20180405
,Not Ringed,GBT,Chaffinch,CHAFF,4,M,05/04/2018,,Fforest Ganol,,,JS,18.1,21.3,Wales_20180405
,D955208,GBT,Great Tit,GRETI,5,M,05/04/2018,,Fforest Ganol,75,18.9,JS,20.7,24.2,Wales_20180405
,D955211,GBT,Great Tit,GRETI,6,M,05/04/2018,,Fforest Ganol,75,14.6,MPS,23.1,25.6,Wales_20180405
,D955213,GBT,Great Tit,GRETI,6,M,05/04/2018,,Fforest Ganol,77,17.5,RJF,20.3,23.7,Wales_20180405
,NV58512,GBT,Hawfinch,HAWFI,6,F,05/04/2018,,Fforest Ganol,105,65,MPS,23.1,26.2,Wales_20180405
,NV58518,GBT,Hawfinch,HAWFI,6,F,05/04/2018,,Fforest Ganol,103,60.3,RJF,22,25.9,Wales_20180405
,NV58519,GBT,Hawfinch,HAWFI,5,M,05/04/2018,,Fforest Ganol,103,63.3,RJF,23.4,26.4,Wales_20180405
,NV58520,GBT,Hawfinch,HAWFI,6,M,05/04/2018,,Fforest Ganol,106,52.9,MPS,20.1,22.9,Wales_20180405
,NV58561,GBT,Hawfinch,HAWFI,5,M,05/04/2018,,Fforest Ganol,102,62.6,JS,20.5,25,Wales_20180405
,NV58562,GBT,Hawfinch,HAWFI,5,M,05/04/2018,,Fforest Ganol,104,54.2,RJF,24,26.1,Wales_20180405
,NV58563,GBT,Hawfinch,HAWFI,5,F,05/04/2018,,Fforest Ganol,102,57.3,RJF,22.1,26.2,Wales_20180405
,TL73341,GBT,Nuthatch,NUTHA,4,M,05/04/2018,,Fforest Ganol,82,21.3,JS,20,21.8,Wales_20180405
,ALA899,GBT,Wren,WREN,5,U,05/04/2018,,Fforest Ganol,47,,JS,18.4,20.3,Wales_20180405
N,D955216,,Brambling,BRAMB,5,F,12/04/2018,09:30,Fforest Ganol,89,19.1,JS,19.7,21,Wales_20180412
N,D955215,,Great Tit,GRETI,5,M,12/04/2018,09:30,Fforest Ganol,77,18.6,JS,19.9,22.6,Wales_20180412
N,NV58565,,Hawfinch,HAWFI,6,F,12/04/2018,09:30,Fforest Ganol,104,50.7,JS,25.5,29.4,Wales_20180412
N,NV58564,,Hawfinch,HAWFI,6,F,12/04/2018,09:30,Fforest Ganol,101,55.4,JS,21.5,26,Wales_20180412
S,X962888,,Robin,ROBIN,5,M,12/04/2018,09:30,Fforest Ganol,75,19.5,RJF,21.9,26,Wales_20180412
S,X962899,,Great Tit,GRETI,5,M,12/04/2018,09:30,Fforest Ganol,75,18.5,JS,20.4,23.5,Wales_20180412
N,D955214,,Chaffinch,CHAFF,5,M,12/04/2018,08:26,Fforest Ganol,77,18.1,JS,18.2,22.1,Wales_20180412
,LK00709,,Blackbird,BLABI,6,M,12/04/2018,,Distilley Field,130,92.2,SB,35.8,40.6,SB_20180425
,LK00728,,Blackbird,BLABI,5,F,12/04/2018,,Distilley Field,127,91.7,SB,35,39.7,SB_20180426
,S152839,,Blue Tit,BLUTI,6,M,12/04/2018,,Distilley Field,66,,SB,17.8,20.3,SB_20180427
,AYC3095,,Chaffinch,CHAFF,6,F,12/04/2018,,Distilley Field,81,20.1,SB,18.5,21.1,SB_20180428
,S873680,,Blue Tit,BLUTI,5,,12/04/2018,,Distilley Field,62,9.8,SB,16.6,19.4,SB_20180429
,S842773,,Blue Tit,BLUTI,5,,12/04/2018,,Distilley Field,63,10.3,SB,16.7,19.4,SB_20180430
,LC97911,,Blackbird,BLABI,6,F,12/04/2018,,Distilley Field,124,103.5,SB,34.1,39,SB_20180431
,LK00742,,Blackbird,BLABI,6,M,12/04/2018,,Distilley Field,128,93.8,SB,34,39.2,SB_20180432
,VZ80768,,Great Tit,GRETI,5,F,12/04/2018,,Distilley Field,70,17.5,SB,19.9,22.2,SB_20180433
,VZ80680,,Great Tit,GRETI,5,M,12/04/2018,,Distilley Field,74,18.5,SB,20.7,23.5,SB_20180434
,LK00714,,Blackbird,BLABI,6,M,20/04/2018,,DF,133,91.1,ARC,34.2,38.1,SB_AC_20180424
,LK00726,,Blackbird,BLABI,6,F,20/04/2018,,DF,122,95.8,ARC,33.4,38.4,SB_AC_20180425
,S152135,,Chaffinch,CHAFF,6,M,20/04/2018,,DF,89,20.4,ARC,18.5,21,SB_AC_20180426
,VZ72636,,Dunnock,DUNNO,6,M,20/04/2018,,DF,70,22.1,ARC,22.3,23.9,SB_AC_20180427
,JLH563,,Wren,WREN,6,,20/04/2018,,DF,50,,ARC,17.9,19.5,SB_AC_20180428
,AYC3099,,Chaffinch,CHAFF,6,F,20/04/2018,,DF,79,18.7,ARC,17.9,19.7,SB_AC_20180429
,LK00743,,Blackbird,BLABI,6,M,20/04/2018,,DF,131,95.7,ARC,34,38.9,SB_AC_20180430
,AYC3100,,Blackcap,BLACA,6,M,20/04/2018,,DF,74,15.7,ARC,20.3,22.4,SB_AC_20180431
,AYC3101,,Blackcap,BLACA,5,M,20/04/2018,,DF,74,16.2,SB,20.3,23.6,SB_AC_20180432
,AYC3102,,Chaffinch,CHAFF,6,F,20/04/2018,,DF,83,21.3,SB,18.4,21.1,SB_AC_20180433
,S152832,,Blue Tit,BLUTI,6,F,20/04/2018,,DF,61,11.6,SB,16.8,19.1,SB_AC_20180434
,LK00712,,Blackbird,BLABI,5,M,20/04/2018,,DF,128,94.9,SB,32.9,37.5,SB_AC_20180435
,S873526,,Robin,ROBIN,6,,20/04/2018,,DF,70,19.5,SB,25.2,28,SB_AC_20180436
,D895584,,Great Tit,GRETI,6,F,20/04/2018,,DF,70,20.9,SB,20,23.2,SB_AC_20180437
,AFB9209,,Chaffinch,CHAFF,6,M,21/04/2018,,HQY,89,20.2,SB,18.1,20.7,SB_AC_20180438
,S149992,,Chaffinch,CHAFF,6,M,21/04/2018,,HQY,88,22.4,SB,18.2,20.8,SB_AC_20180439
,AFB9726,,Robin,ROBIN,6,F,21/04/2018,,HQY,74,20.6,SB,26.8,29.9,SB_AC_20180440
N,LK00744,,Blackbird,BLABI,6,M,25/04/2018,,DF,131,89.5,SB,34.1,39.1,SB_20180510
N,AYC3094,,Robin,ROBIN,6,M,30/04/2018,,DF,76,18.5,SB,24.6,27.5,SB_20180510
N,LK00745,,Blackbird,BLABI,6,F,30/04/2018,,DF,126,103,SB,33.6,38.5,SB_20180510
RETRAP,D955208,GBT,Great Tit,GRETI,5,M,03/05/2018,08:00,FGANOL (Fforest Ganol),76,19.4,JS,20.8,23.1,Wales_20180503
RETRAP,Y638252,GBT,Great Tit,GRETI,6,F,03/05/2018,08:00,FGANOL (Fforest Ganol),72,20.6,JS,21,24,Wales_20180503
RETRAP,TL10774,GBT,Nuthatch,NUTHA,4,M,03/05/2018,08:00,FGANOL (Fforest Ganol),87,24.1,JS,19,21.8,Wales_20180503
RETRAP,Y638267,GBT,Great Tit,GRETI,6,M,03/05/2018,07:00,FGANOL (Fforest Ganol),76,18.7,JS,20.5,23.7,Wales_20180503
RETRAP,D955201,GBT,Great Tit,GRETI,5,F,03/05/2018,07:00,FGANOL (Fforest Ganol),70,21.3,JS,20.1,23,Wales_20180503
RETRAP,X962885,GBT,Great Tit,GRETI,6,M,03/05/2018,07:00,FGANOL (Fforest Ganol),75,20.7,JS,21,24.1,Wales_20180503
RETRAP,Y638225,GBT,Great Tit,GRETI,5,M,03/05/2018,07:00,FGANOL (Fforest Ganol),77,,JS,21,23.2,Wales_20180503
RETRAP,X962876,GBT,Great Tit,GRETI,6,M,03/05/2018,09:00,FGANOL (Fforest Ganol),74,,JS,21.8,23,Wales_20180503
RETRAP,Y638246,GBT,Great Tit,GRETI,6,M,03/05/2018,09:00,FGANOL (Fforest Ganol),72,19,JS,20.8,23.8,Wales_20180503
Control,NW76596,GBT,Hawfinch,HAWFI,6,F,03/05/2018,09:00,FGANOL (Fforest Ganol),103,52.3,RJF,21.5,25,Wales_20180503
NEW,NV58578,GBT,Hawfinch,HAWFI,6,M,03/05/2018,08:00,FGANOL (Fforest Ganol),106,56.2,RJF,22.4,26.6,Wales_20180503
NEW,NV58577,GBT,Hawfinch,HAWFI,6,M,03/05/2018,07:00,FGANOL (Fforest Ganol),102,52,JS,22.6,26.3,Wales_20180503
NEW,D955227,GBT,Great Tit,GRETI,6,F,03/05/2018,09:00,FGANOL (Fforest Ganol),73,21.4,JS,20.5,22.8,Wales_20180503
NEW,D955226,GBT,Great Tit,GRETI,5,M,03/05/2018,07:00,FGANOL (Fforest Ganol),77,20,JS,20.3,22.7,Wales_20180503
NEW,D955225,GBT,Great Tit,GRETI,5,M,03/05/2018,07:00,FGANOL (Fforest Ganol),75,20.3,JS,20.6,24,Wales_20180503
NEW,D955224,GBT,Great Tit,GRETI,5,M,03/05/2018,07:00,FGANOL (Fforest Ganol),79,,JS,20.1,23.2,Wales_20180503
RETRAP,Y638266,GBT,Great Tit,GRETI,6,m,03/05/2018,07:00,FGANOL (Fforest Ganol),,,RJF,21.1,23.7,Wales_20180503
N,LK00746,,Blackbird,BLABI,6,M,10/05/2018,,DF,129,93.6,SB,34.2,38.4,SB_20180510
N,LH54359,,Blackbird,BLABI,5,M,13/05/2018,,HQY,125,94.8,IDH,34.1,38.9,SB_20180705
N,S149774,,Blue Tit,BLUTI,5,F,13/05/2018,,HQY,62,10.5,IDH,16.4,17.8,SB_20180706
N,AFB9773,,Chaffinch,CHAFF,6,F,13/05/2018,,HQY,80,18.6,IDH,16.5,17.7,SB_20180707
N,AFB9775,,Chaffinch,CHAFF,6,M,13/05/2018,,HQY,85,19.5,IDH,18.5,21.2,SB_20180708
N,S812301,,Blue tit,BLUTI,6,,16/05/2018,10:05,TMW,59,12.02,JS,16.4,19.6,JS_20180517
N,S812305,,Blue tit,BLUTI,6,,16/05/2018,11:48,TMW,61,,JS,16.1,19.6,JS_20180518
N,S812306,,Blue tit,BLUTI,5,,16/05/2018,12:31,TMR,61,,JS,17,19.9,JS_20180519
N,S812309,,Blue tit,BLUTI,5,,16/05/2018,14:42,TMR,62,,JS,18,20,JS_20180520
N,S812310,,Blue tit,BLUTI,6,,16/05/2018,15:00,TMR,60,,JS,16.6,19.9,JS_20180521
N,S812313,,Blue tit,BLUTI,6,,16/05/2018,16:15,TMB,61,,JS,16.8,19.7,JS_20180522
N,S812314,,Blue tit,BLUTI,5,,16/05/2018,16:37,TMB,61,,JS,17.3,20.4,JS_20180523
N,S812315,,Blue tit,BLUTI,6,,16/05/2018,16:52,TMB,61,,JS,16.8,19.7,JS_20180524
N,S812316,,Blue tit,BLUTI,5,,16/05/2018,17:01,TMB,59,,JS,16.1,18.5,JS_20180525
N,S812302,,Pied flycatcher,PIEFL,5,F,16/05/2018,10:21,TMW,77,,JS,16.7,19.4,JS_20180527
C,Z788698,,Pied flycatcher,PIEFL,5,F,16/05/2018,10:49,TMW,77,,JS,17.6,19.7,JS_20180528
R,Z788453,,Pied flycatcher,PIEFL,6,F,16/05/2018,11:02,TMW,79,,JS,16.9,20.1,JS_20180529
N,S812303,,Pied flycatcher,PIEFL,6,F,16/05/2018,11:18,TMW,78,,JS,17,20.3,JS_20180530
N,S812304,,Pied flycatcher,PIEFL,6,F,16/05/2018,11:37,TMW,76,,JS,17.6,20.1,JS_20180531
C,Z105078,,Pied flycatcher,PIEFL,6,F,16/05/2018,11:56,TMW,78,,JS,18.1,20.5,JS_20180532
C,Y189551,,Pied flycatcher,PIEFL,6,F,16/05/2018,12:20,TMW,76,,JS,17.7,19.9,JS_20180533
N,S812307,,Pied flycatcher,PIEFL,6,F,16/05/2018,13:01,TMW,77,,JS,16.6,18.9,JS_20180534
N,S812308,,Pied flycatcher,PIEFL,6,F,16/05/2018,14:15,TMR,77,,JS,17.2,19.2,JS_20180535
R,Z788934,,Pied flycatcher,PIEFL,5,F,16/05/2018,14:23,TMR,76,,JS,16.4,18.9,JS_20180536
N,S812311,,Pied flycatcher,PIEFL,6,F,16/05/2018,15:15,TMR,75,,JS,17.3,20,JS_20180537
R,Z788468,,Pied flycatcher,PIEFL,6,F,16/05/2018,15:33,TMB,75,,JS,16.4,19.2,JS_20180538
N,S812312,,Pied flycatcher,PIEFL,6,F,16/05/2018,15:55,TMB,76,,JS,16.6,19.7,JS_20180539
N,S812318,,Pied flycatcher,PIEFL,6,F,23/05/2018,10:38,TMW,76,15.51,JS,16.5,19.9,JS_20180526
C,S812023,,Pied flycatcher,PIEFL,6,F,23/05/2018,12:20,TMW,75,15,JS,16.3,19.9,JS_20180527
N,S812319,,Pied flycatcher,PIEFL,5,F,23/05/2018,14:17,TMR,78,16.43,JS,18,20.7,JS_20180528
N,S812320,,Pied flycatcher,PIEFL,5,F,23/05/2018,14:58,TMR,78,15.49,JS,16.5,19.6,JS_20180529
N,S812321,,Pied flycatcher,PIEFL,6,F,23/05/2018,15:36,TMR,76,14.73,JS,16,19.5,JS_20180530
N,S812322,,Pied flycatcher,PIEFL,5,F,23/05/2018,15:46,TMR,76,15.1,JS,16.3,19.3,JS_20180531
N,S812323,,Pied flycatcher,PIEFL,6,F,23/05/2018,15:54,TMR,76,14.12,JS,16.2,19,JS_20180532
N,S812324,,Pied flycatcher,PIEFL,5,F,23/05/2018,16:04,TMR,75,14.76,JS,16.3,18.9,JS_20180533
N,S812325,,Pied flycatcher,PIEFL,5,F,23/05/2018,17:00,TMB,72,14.69,JS,16,18.5,JS_20180534
N,S812317,,Blue tit,BLUTI,6,,23/05/2018,10:22,TMW,64,12.68,JS,16.4,19,JS_20180534
N,S152156,,Coal Tit,COATI,6,F,23/05/2018,,,60,8.7,IDH,17.3,18.7,IDH_20180822
N,S152297,,Coal Tit,COATI,6,F,23/05/2018,,,61,9.3,IDH,17.7,19.4,IDH_20180822
N,S842209,,Coal Tit,COATI,6,M,23/05/2018,,,62,8.5,IDH,18.3,19.9,IDH_20180822
N,S873922,,Coal Tit,COATI,5,M,23/05/2018,,,60,8.7,IDH,17.5,19,IDH_20180822
N,S873923,,Coal Tit,COATI,6,F,23/05/2018,,,60,9,IDH,17.6,19.1,IDH_20180822
N,S152414,,Great Tit,GRETI,6,M,24/05/2018,,KB,72,,SB,21.1,24.1,SB_20180709
N,S152790,,Coal Tit,COATI,6,M,24/05/2018,,,61,8.8,IDH,17.2,19,IDH_20180822
N,AYC3025,,Coal Tit,COATI,5,M,25/05/2018,,,61,9.3,IDH,16.9,18.7,IDH_20180822
N,D895797,,Great Tit,GRETI,6,F,25/05/2018,,,75,17.2,IDH,20.4,22.8,IDH_20180822
N,D895845,,Great Tit,GRETI,6,M,25/05/2018,,,79,18.3,IDH,19.5,21.6,IDH_20180822
N,S842478,,Coal Tit,COATI,6,F,25/05/2018,,,61,8.7,IDH,16.9,18.5,IDH_20180822
N,S873946,,Coal Tit,COATI,5,F,25/05/2018,,,60,9.4,IDH,17.3,18.8,IDH_20180822
N,S873953,,Coal Tit,COATI,6,M,25/05/2018,,,62,8.8,IDH,17.7,19.3,IDH_20180822
N,S152311,,Coal Tit,COATI,6,M,26/05/2018,,,62,8.7,IDH,17.7,18.9,IDH_20180822
N,S873969,,Coal Tit,COATI,5,F,26/05/2018,,,60,8.9,IDH,17.7,18.9,IDH_20180822
N,VZ72638,,Great Tit,GRETI,5,F,26/05/2018,,,73,17.7,IDH,21.1,24.2,IDH_20180822
N,VZ72695,,Great Tit,GRETI,5,M,26/05/2018,,,74,17.3,IDH,21.3,23.8,IDH_20180822
N,VZ72696,,Great Tit,GRETI,5,F,26/05/2018,,,72,16.6,IDH,19.5,21.7,IDH_20180822
N,Z663016,,Great Tit,GRETI,6,M,26/05/2018,,,75,19.2,IDH,20.6,23.5,IDH_20180822
N,AYC3190,,Blue Tit,BLUTI,5,F,27/05/2018,,SP,59,9,SB,17,19.6,SB_20180710
N,S152242,,Blue Tit,BLUTI,6,M,27/05/2018,,SP,66,9.4,SB,17.5,19.6,SB_20180711
N,Z663155,,Blue Tit,BLUTI,6,M,27/05/2018,,GT,65,9.8,SB,17.4,20.8,SB_20180712
N,D895688,,Great Tit,GRETI,6,M,27/05/2018,,KB,79,18.6,SB,21.2,24,SB_20180713
N,S842227,,Great Tit,GRETI,6,F,27/05/2018,,GT,74,17.6,SB,20.4,23.4,SB_20180714
N,S873503,,Great Tit,GRETI,6,F,27/05/2018,,KB,74,17.5,SB,19.8,22.9,SB_20180715
N,D534834,,Great Tit,GRETI,6,F,27/05/2018,,,75,17.9,IDH,18.9,21.5,IDH_20180822
N,S152121,,Great Tit,GRETI,6,M,27/05/2018,,,78,18.6,IDH,20.7,23.1,IDH_20180822
N,S873970,,Coal Tit,COATI,5,M,27/05/2018,,,63,8.9,IDH,17.6,19.5,IDH_20180822
N,VZ72697,,Great Tit,GRETI,6,M,27/05/2018,,,76,18.1,IDH,21,23.8,IDH_20180822
N,VZ80787,,Great Tit,GRETI,5,F,27/05/2018,,,72,16.5,IDH,20,22.5,IDH_20180822
N,AYC3191,,Blue Tit,BLUTI,5,F,28/05/2018,,GT,60,9.6,SB,16.4,19.4,SB_20180716
N,S842293,,Blue Tit,BLUTI,6,F,28/05/2018,,GT,62,10.3,SB,16.7,19,SB_20180717
N,S152861,,Great Tit,GRETI,6,M,28/05/2018,,KB,77,18.8,SB,21.7,24.5,SB_20180718
N,VZ80501,,Great Tit,GRETI,5,F,28/05/2018,,KB,71,16.9,SB,20.5,23.6,SB_20180719
N,S152929,,Blue Tit,BLUTI,6,M,28/05/2018,,GT,67,10.9,SB,18.3,21.1,SB_20180720
N,S873985,,Coal Tit,COATI,5,F,28/05/2018,,,59,8.9,IDH,17.7,19.5,IDH_20180822
N,S873986,,Coal Tit,COATI,6,M,28/05/2018,,,61,8.9,IDH,17.7,19.6,IDH_20180822
N,AYC3198,,Blue Tit,BLUTI,5,F,29/05/2018,,DD,60,9.8,SB,16.1,18.7,SB_20180721
N,S152148,,Great Tit,GRETI,6,M,29/05/2018,,GT,76,17.3,SB,19.9,22.9,SB_20180722
N,NZ05506,,Great Tit,GRETI,5,M,29/05/2018,,,76,16.7,IDH,20.3,23,IDH_20180822
N,NZ05507,,Great Tit,GRETI,5,F,29/05/2018,,,70,16.8,IDH,19,21.6,IDH_20180822
N,D534592,,Great Tit,GRETI,6,M,30/05/2018,,KB,77,17.6,SB,21,23.5,SB_20180723
N,VZ80502,,Great Tit,GRETI,5,F,30/05/2018,,KB,76,18.3,SB,20.5,23.1,SB_20180724
N,VZ80509,,Great Tit,GRETI,5,F,30/05/2018,,SP,72,17.3,SB,20.1,22.6,SB_20180725
N,VZ80833,,Great Tit,GRETI,5,M,30/05/2018,,SP,74,17.6,SB,20,23.1,SB_20180726
N,D895526,,Great Tit,GRETI,6,F,30/05/2018,,,74,17.5,IDH,20.8,23.2,IDH_20180822
