ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
X962900,Great Tit,GRETI,5,F,08/02/2018,Fforest Ganol,74,17.9,18.3,21.8,JS,Wales_20180406
BV39252,Hawfinch,HAWFI,6,M,09/03/2018,Fforest Ganol,107,,21.9,25.9,MPS,Wales_20180405
Y638207,Great Tit,GRETI,5,F,09/03/2018,Fforest Ganol,72,,19.8,22.6,JS,Wales_20180406
Y638208,Great Tit,GRETI,6,M,09/03/2018,Fforest Ganol,77,,28.2,29,JS,Wales_20180406
Y638211,Great Tit,GRETI,6,M,09/03/2018,Fforest Ganol,76,,19,22.5,MPS,Wales_20180406
Y638215,Great Tit,GRETI,6,M,09/03/2018,Fforest Ganol,73,17.1,20.7,23.5,MPS,Wales_20180406
Y638216,Great Tit,GRETI,6,M,09/03/2018,Fforest Ganol,75,17.6,20.3,24.2,MPS,Wales_20180406
Y638218,Great Tit,GRETI,6,M,09/03/2018,Fforest Ganol,72,15.5,19.2,22.5,JS,Wales_20180406
Y638220,Great Tit,GRETI,5,M,09/03/2018,Fforest Ganol,72,,19.1,22.2,MPS,Wales_20180406
Y638222,Great Tit,GRETI,6,F,09/03/2018,Fforest Ganol,71,20.9,19.8,22.8,JS,Wales_20180406
Y638223,Great Tit,GRETI,5,M,09/03/2018,Fforest Ganol,74,22,20,23.2,JS,Wales_20180406
Y638231,Great Tit,GRETI,5,M,09/03/2018,Fforest Ganol,75,18.6,21.8,24.8,JS,Wales_20180406
Y638226,Great Tit,GRETI,5,M,16/03/2018,Fforest Ganol,74,19.3,20.3,23.6,MPS,Wales_20180406
AYC3090,Chaffinch,CHAFF,5,M,27/03/2018,Distilley Field,84,,18.5,21.2,SB,SB_20180419
AYC3092,Chaffinch,CHAFF,6,M,27/03/2018,Distilley Field,85,17.8,16.3,18.9,SB,SB_20180419
S152135,Chaffinch,CHAFF,6,M,27/03/2018,Distilley Field,90,20.8,18.6,21.9,SB,SB_20180419
LK00719,Blackbird,BLABI,6,M,27/03/2018,Distilley Field,129,87.8,32.8,37.4,SB,SB_20180419
S842769,Chaffinch,CHAFF,6,M,27/03/2018,Distilley Field,88,19.4,19.2,22,SB,SB_20180419
S873648,Chaffinch,CHAFF,6,F,27/03/2018,Distilley Field,86,17.6,18.2,22.8,SB,SB_20180419
D955209,Brambling,BRAMB,5,F,05/04/2018,Fforest Ganol,89,23.1,19.4,21.8,MPS,Wales_20180405
D955210,Brambling,BRAMB,6,M,05/04/2018,Fforest Ganol,90,25.5,18.1,21.3,JS,Wales_20180405
D955212,Chaffinch,CHAFF,4,F,05/04/2018,Fforest Ganol,79,18.7,18,20.5,JS,Wales_20180405
Not Ringed,Chaffinch,CHAFF,4,M,05/04/2018,Fforest Ganol,,,18.1,21.3,JS,Wales_20180405
D955208,Great Tit,GRETI,5,M,05/04/2018,Fforest Ganol,75,18.9,20.7,24.2,JS,Wales_20180405
D955211,Great Tit,GRETI,6,M,05/04/2018,Fforest Ganol,75,14.6,23.1,25.6,MPS,Wales_20180405
D955213,Great Tit,GRETI,6,M,05/04/2018,Fforest Ganol,77,17.5,20.3,23.7,RJF,Wales_20180405
NV58512,Hawfinch,HAWFI,6,F,05/04/2018,Fforest Ganol,105,65,23.1,26.2,MPS,Wales_20180405
NV58518,Hawfinch,HAWFI,6,F,05/04/2018,Fforest Ganol,103,60.3,22,25.9,RJF,Wales_20180405
NV58519,Hawfinch,HAWFI,5,M,05/04/2018,Fforest Ganol,103,63.3,23.4,26.4,RJF,Wales_20180405
NV58520,Hawfinch,HAWFI,6,M,05/04/2018,Fforest Ganol,106,52.9,20.1,22.9,MPS,Wales_20180405
NV58561,Hawfinch,HAWFI,5,M,05/04/2018,Fforest Ganol,102,62.6,20.5,25,JS,Wales_20180405
NV58562,Hawfinch,HAWFI,5,M,05/04/2018,Fforest Ganol,104,54.2,24,26.1,RJF,Wales_20180405
NV58563,Hawfinch,HAWFI,5,F,05/04/2018,Fforest Ganol,102,57.3,22.1,26.2,RJF,Wales_20180405
TL73341,Nuthatch,NUTHA,4,M,05/04/2018,Fforest Ganol,82,21.3,20,21.8,JS,Wales_20180405
ALA899,Wren,WREN,5,U,05/04/2018,Fforest Ganol,47,,18.4,20.3,JS,Wales_20180405
LK00709,Blackbird,BLABI,6,M,12/04/2018,Distilley Field,130,92.2,35.8,40.6,SB,SB_20180419
LK00728,Blackbird,BLABI,5,F,12/04/2018,Distilley Field,127,91.7,35,39.7,SB,SB_20180419
S152839,Blue Tit,BLUTI,6,M,12/04/2018,Distilley Field,66,,17.8,20.3,SB,SB_20180419
AYC3095,Chaffinch,CHAFF,6,F,12/04/2018,Distilley Field,81,20.1,18.5,21.1,SB,SB_20180419
S873680,Blue Tit,BLUTI,5,,12/04/2018,Distilley Field,62,9.8,16.6,19.4,SB,SB_20180419
S842773,Blue Tit,BLUTI,5,,12/04/2018,Distilley Field,63,10.3,16.7,19.4,SB,SB_20180419
LC97911,Blackbird,BLABI,6,F,12/04/2018,Distilley Field,124,103.5,34.1,39,SB,SB_20180419
LK00742,Blackbird,BLABI,6,M,12/04/2018,Distilley Field,128,93.8,34,39.2,SB,SB_20180419
VZ80768,Great Tit,GRETI,5,F,12/04/2018,Distilley Field,70,17.5,19.9,22.2,SB,SB_20180419
VZ80680,Great Tit,GRETI,5,M,12/04/2018,Distilley Field,74,18.5,20.7,23.5,SB,SB_20180419
D955216,Brambling,BRAMB,5,F,12/04/2018,Fforest Ganol,89,19.1,19.7,21,JS,Wales_20180412
