species,code,age,sex,visit_date,wing,weight,min_t,max_t,ringer,sheet
Great Tit,GRETI,5,F,08/02/2018,74,17.9,18.3,21.8,JS,Wales_20180406
Hawfinch,HAWFI,6,M,09/03/2018,107,,21.9,25.9,MPS,Wales_20180405
Great Tit,GRETI,5,F,09/03/2018,72,,19.8,22.6,JS,Wales_20180406
Great Tit,GRETI,6,M,09/03/2018,77,,28.2,29,JS,Wales_20180406
Great Tit,GRETI,6,M,09/03/2018,76,,19,22.5,MPS,Wales_20180406
Great Tit,GRETI,6,M,09/03/2018,73,17.1,20.7,23.5,MPS,Wales_20180406
Great Tit,GRETI,6,M,09/03/2018,75,17.6,20.3,24.2,MPS,Wales_20180406
Great Tit,GRETI,6,M,09/03/2018,72,15.5,19.2,22.5,JS,Wales_20180406
Great Tit,GRETI,5,M,09/03/2018,72,,19.1,22.2,MPS,Wales_20180406
Great Tit,GRETI,6,F,09/03/2018,71,20.9,19.8,22.8,JS,Wales_20180406
Great Tit,GRETI,5,M,09/03/2018,74,22,20,23.2,JS,Wales_20180406
Great Tit,GRETI,5,M,09/03/2018,75,18.6,21.8,24.8,JS,Wales_20180406
Great Tit,GRETI,5,M,16/03/2018,74,19.3,20.3,23.6,MPS,Wales_20180406
Chaffinch,CHAFF,5,M,27/03/2018,84,,18.5,21.2,SB,SB_20180419
Chaffinch,CHAFF,6,M,27/03/2018,85,17.8,16.3,18.9,SB,SB_20180419
Chaffinch,CHAFF,6,M,27/03/2018,90,20.8,18.6,21.9,SB,SB_20180419
Blackbird,BLABI,6,M,27/03/2018,129,87.8,32.8,37.4,SB,SB_20180419
Chaffinch,CHAFF,6,M,27/03/2018,88,19.4,19.2,22,SB,SB_20180419
Chaffinch,CHAFF,6,F,27/03/2018,86,17.6,18.2,22.8,SB,SB_20180419
Brambling,BRAMB,5,F,05/04/2018,89,23.1,19.4,21.8,MPS,Wales_20180405
Brambling,BRAMB,6,M,05/04/2018,90,25.5,18.1,21.3,JS,Wales_20180405
Chaffinch,CHAFF,4,F,05/04/2018,79,18.7,18,20.5,JS,Wales_20180405
Chaffinch,CHAFF,4,M,05/04/2018,,,18.1,21.3,JS,Wales_20180405
Great Tit,GRETI,5,M,05/04/2018,75,18.9,20.7,24.2,JS,Wales_20180405
Great Tit,GRETI,6,M,05/04/2018,75,14.6,23.1,25.6,MPS,Wales_20180405
Great Tit,GRETI,6,M,05/04/2018,77,17.5,20.3,23.7,RJF,Wales_20180405
